,godin,gradnorm,klm,dice,vim,msp,ebo,mds,knn,odin,react,gram,mls
godin,0.67/0.81/0.6/0.59/,0.67/0.86/0.57/0.59/,0.69/0.84/0.64/0.58/,0.68/0.84/0.63/0.56/,0.69/0.84/0.64/0.6/,0.69/0.83/0.69/0.55/,0.69/0.85/0.65/0.58/,0.68/0.81/0.71/0.51/,0.69/0.83/0.67/0.58/,0.68/0.85/0.64/0.53/,0.69/0.83/0.7/0.54/,0.68/0.83/0.66/0.54/,0.69/0.85/0.67/0.56/
gradnorm,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/,0.56/0.85/0.32/0.51/
klm,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/,0.54/0.89/0.18/0.54/
dice,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/,0.56/0.85/0.22/0.61/
vim,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/,0.61/0.79/0.45/0.58/
msp,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/,0.56/0.8/0.31/0.58/
ebo,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/,0.56/0.82/0.33/0.53/
mds,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/,0.61/0.88/0.62/0.33/
knn,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/,0.58/0.8/0.31/0.65/
odin,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/,0.55/0.87/0.39/0.38/
react,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/,0.57/0.79/0.27/0.64/
gram,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/,0.59/0.86/0.42/0.5/
mls,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/,0.56/0.81/0.2/0.67/
