,dataset,method,fpr@95
0,cifar100,godin,47.34
1,tin,godin,40.87
2,nearood,godin,44.11
3,mnist,godin,1.42
4,svhn,godin,15.18
5,texture,godin,19.77
6,places365,godin,36.94
7,farood,godin,18.33
8,fgsm,godin,86.49
9,pgd,godin,89.37
10,adv,godin,87.93
11,cifar100,gradnorm,82.12
12,tin,gradnorm,81.1
13,nearood,gradnorm,81.61
14,mnist,gradnorm,77.36
15,svhn,gradnorm,83.12
16,texture,gradnorm,83.17
17,places365,gradnorm,79.16
18,farood,gradnorm,80.71
19,fgsm,gradnorm,79.14
20,pgd,gradnorm,96.52
21,adv,gradnorm,87.83
22,cifar100,klm,61.33
23,tin,klm,56.62
24,nearood,klm,58.98
25,mnist,klm,58.88
26,svhn,klm,50.1
27,texture,klm,59.11
28,places365,klm,54.89
29,farood,klm,55.75
30,fgsm,klm,81.14
31,pgd,klm,95.46
32,adv,klm,88.3
33,cifar100,dice,65.72
34,tin,dice,63.18
35,nearood,dice,64.45
36,mnist,dice,50.77
37,svhn,dice,67.46
38,texture,dice,67.22
39,places365,dice,55.58
40,farood,dice,60.26
41,fgsm,dice,70.11
42,pgd,dice,93.47
43,adv,dice,81.79
44,cifar100,vim,56.12
45,tin,vim,52.69
46,nearood,vim,54.41
47,mnist,vim,63.41
48,svhn,vim,15.42
49,texture,vim,21.08
50,places365,vim,48.06
51,farood,vim,36.99
52,fgsm,vim,67.6
53,pgd,vim,92.49
54,adv,vim,80.04
55,cifar100,msp,61.33
56,tin,msp,57.1
57,nearood,msp,59.22
58,mnist,msp,57.83
59,svhn,msp,51.39
60,texture,msp,59.04
61,places365,msp,56.79
62,farood,msp,56.26
63,fgsm,msp,81.79
64,pgd,msp,96.2
65,adv,msp,88.99
66,cifar100,ebo,51.32
67,tin,ebo,44.73
68,nearood,ebo,48.03
69,mnist,ebo,44.32
70,svhn,ebo,45.61
71,texture,ebo,48.03
72,places365,ebo,41.74
73,farood,ebo,44.92
74,fgsm,ebo,72.12
75,pgd,ebo,93.93
76,adv,ebo,83.03
77,cifar100,mds,85.87
78,tin,mds,86.85
79,nearood,mds,86.36
80,mnist,mds,0.0
81,svhn,mds,94.62
82,texture,mds,64.43
83,places365,mds,93.61
84,farood,mds,63.17
85,fgsm,mds,95.01
86,pgd,mds,94.99
87,adv,mds,95.0
88,cifar100,knn,51.93
89,tin,knn,46.01
90,nearood,knn,48.97
91,mnist,knn,49.73
92,svhn,knn,33.47
93,texture,knn,45.21
94,places365,knn,43.27
95,farood,knn,42.92
96,fgsm,knn,78.79
97,pgd,knn,95.41
98,adv,knn,87.1
99,cifar100,odin,58.74
100,tin,odin,56.22
101,nearood,odin,57.48
102,mnist,odin,35.75
103,svhn,odin,68.45
104,texture,odin,50.5
105,places365,odin,50.0
106,farood,odin,51.17
107,fgsm,odin,52.74
108,pgd,odin,90.06
109,adv,odin,71.4
110,cifar100,react,53.33
111,tin,react,46.71
112,nearood,react,50.02
113,mnist,react,50.58
114,svhn,react,49.82
115,texture,react,49.68
116,places365,react,43.83
117,farood,react,48.48
118,fgsm,react,75.29
119,pgd,react,95.03
120,adv,react,85.16
121,cifar100,gram,90.31
122,tin,gram,93.24
123,nearood,gram,91.78
124,mnist,gram,76.21
125,svhn,gram,69.01
126,texture,gram,87.91
127,places365,gram,96.04
128,farood,gram,82.29
129,fgsm,gram,93.59
130,pgd,gram,99.14
131,adv,gram,96.37
132,cifar100,mls,52.04
133,tin,mls,45.23
134,nearood,mls,48.64
135,mnist,mls,45.12
136,svhn,mls,45.42
137,texture,mls,48.4
138,places365,mls,42.68
139,farood,mls,45.41
140,fgsm,mls,73.47
141,pgd,mls,94.11
142,adv,mls,83.79
